"","age","c_charge_degree","race","age_cat","score_text","sex","priors_count","days_b_screening_arrest","decile_score","is_recid","two_year_recid","c_jail_in","c_jail_out"
"3470",52,"F","Caucasian","Greater than 45","Low","Female",1,-8,1,0,0,"2013-10-08 04:39:44","2013-10-11 10:06:11"
"3471",37,"M","Hispanic","25 - 45","Low","Male",4,0,1,1,1,"2014-02-03 03:30:54","2014-02-04 04:02:26"
"3472",26,"M","African-American","25 - 45","Low","Male",1,-1,3,1,0,"2013-03-17 01:16:50","2013-03-24 03:44:00"
"3473",53,"F","African-American","Greater than 45","Low","Male",15,-1,1,1,1,"2013-01-08 11:04:23","2013-03-30 09:14:29"
"3474",47,"F","Hispanic","Greater than 45","Low","Male",1,-27,1,0,0,"2013-12-27 08:28:22","2014-01-13 09:12:03"
"3475",38,"M","African-American","25 - 45","High","Male",0,-1,8,1,1,"2013-04-02 10:50:01","2015-04-21 12:35:32"
"3476",25,"F","African-American","25 - 45","Medium","Male",1,0,6,0,0,"2013-01-11 12:35:37","2013-01-11 01:14:09"
"3477",21,"F","African-American","Less than 25","High","Male",1,-1,10,1,1,"2014-07-27 08:09:50","2014-08-02 04:56:49"
"3478",48,"M","African-American","Greater than 45","Low","Male",0,0,1,0,0,"2013-03-30 03:01:12","2013-03-31 06:57:38"
"3479",24,"F","Other","Less than 25","Low","Female",0,-1,3,0,0,"2013-12-16 08:36:34","2013-12-17 09:48:55"
"3480",22,"F","African-American","Less than 25","Low","Male",0,-1,4,1,1,"2013-04-19 11:29:08","2013-04-20 01:45:16"
"3481",38,"M","Caucasian","25 - 45","Low","Male",2,0,2,0,0,"2013-01-22 02:44:16","2013-02-19 08:46:07"
"3482",23,"F","Other","Less than 25","Low","Male",0,0,3,1,1,"2014-09-21 03:56:39","2014-09-24 04:09:04"
"3483",54,"M","Other","Greater than 45","Low","Male",2,-1,1,0,0,"2013-10-21 09:41:20","2013-10-22 08:05:35"
"3484",24,"F","Hispanic","Less than 25","Low","Male",1,0,4,0,0,"2013-01-21 11:48:52","2013-02-01 08:09:36"
"3485",44,"M","Caucasian","25 - 45","Low","Female",0,-1,1,1,1,"2013-04-07 09:28:33","2013-04-08 08:23:11"
"3486",64,"M","Caucasian","Greater than 45","Low","Male",0,-1,1,0,0,"2013-10-29 11:55:33","2013-10-30 08:18:51"
"3487",38,"M","Caucasian","25 - 45","Medium","Male",5,-18,5,1,1,"2013-02-28 06:08:11","2013-02-28 08:42:37"
"3488",45,"M","Other","Greater than 45","Low","Female",0,-1,1,0,0,"2013-08-18 09:01:18","2013-08-19 08:01:53"
"3489",49,"F","African-American","Greater than 45","Medium","Male",1,-1,5,0,0,"2013-10-09 04:35:47","2013-10-14 09:00:33"
"3490",33,"M","Asian","25 - 45","Low","Male",0,-1,1,0,0,"2014-03-01 11:10:20","2014-03-02 07:53:27"
"3491",44,"F","Hispanic","25 - 45","Low","Male",2,-1,2,0,0,"2013-03-28 05:17:58","2013-03-29 09:19:00"
"3492",51,"F","African-American","Greater than 45","Low","Male",3,-1,1,0,0,"2013-09-09 08:22:20","2013-09-12 08:28:20"
"3493",50,"F","African-American","Greater than 45","Low","Male",0,0,1,0,0,"2013-01-27 03:37:16","2013-01-28 02:50:27"
"3494",33,"M","Caucasian","25 - 45","Low","Male",2,-22,2,0,0,"2013-09-19 09:34:52","2013-10-11 06:19:13"
"3495",54,"M","Caucasian","Greater than 45","Low","Female",0,-1,1,0,0,"2014-01-15 02:16:34","2014-02-14 01:29:00"
"3496",28,"F","Hispanic","25 - 45","Medium","Male",3,-1,5,1,1,"2013-11-01 11:03:45","2013-11-02 08:37:34"
"3497",42,"M","African-American","25 - 45","Medium","Male",17,-1,7,1,1,"2013-01-06 08:45:25","2013-02-27 05:23:47"
"3498",34,"F","Caucasian","25 - 45","Low","Male",3,-1,1,0,0,"2013-10-22 09:14:51","2013-10-23 11:28:30"
"3499",38,"F","Caucasian","25 - 45","Low","Male",2,-1,3,1,1,"2013-05-16 01:51:33","2013-05-25 07:15:10"
"3500",21,"F","African-American","Less than 25","High","Male",1,-1,9,1,1,"2013-01-16 04:32:53","2013-01-17 07:40:18"
"3501",33,"F","African-American","25 - 45","Low","Male",5,0,4,0,0,"2013-10-05 12:47:51","2013-10-05 07:14:01"
"3502",32,"M","African-American","25 - 45","Medium","Male",9,-1,7,1,1,"2013-01-23 08:51:29","2013-02-15 09:20:28"
"3503",45,"M","Caucasian","Greater than 45","Low","Male",1,0,1,0,0,"2014-01-01 03:58:45","2014-01-02 12:15:31"
"3504",30,"F","Caucasian","25 - 45","High","Male",1,-1,8,1,1,"2014-04-29 09:21:44","2014-06-02 09:04:48"
"3505",29,"F","African-American","25 - 45","High","Female",0,-1,10,0,0,"2014-02-12 09:29:02","2014-02-14 05:18:35"
"3506",51,"M","Caucasian","Greater than 45","Low","Female",0,-1,1,1,1,"2014-06-01 09:13:33","2014-06-09 09:06:51"
"3507",28,"F","African-American","25 - 45","Low","Female",0,-1,3,0,0,"2014-01-28 10:38:19","2014-01-29 02:13:39"
"3508",27,"F","Caucasian","25 - 45","Low","Male",1,-1,3,0,0,"2013-12-31 09:37:13","2014-01-01 08:36:34"
"3509",28,"F","Hispanic","25 - 45","High","Male",16,-1,10,1,1,"2014-11-24 07:31:04","2014-12-23 11:26:31"
"3510",30,"F","African-American","25 - 45","Low","Female",0,0,2,0,0,"2014-03-25 12:40:00","2014-03-25 09:14:31"
"3511",32,"M","African-American","25 - 45","Medium","Male",0,-1,7,0,0,"2013-04-10 09:50:36","2013-04-12 06:00:18"
"3512",27,"F","Caucasian","25 - 45","Low","Male",5,-1,4,0,0,"2013-08-22 10:46:01","2013-08-23 08:10:56"
"3513",21,"F","Hispanic","Less than 25","Medium","Male",1,-1,5,1,1,"2014-06-26 04:39:10","2014-06-28 05:02:08"
"3514",21,"F","African-American","Less than 25","Medium","Male",0,-1,5,0,0,"2013-05-13 07:56:26","2013-05-15 01:24:31"
"3515",34,"F","Caucasian","25 - 45","Low","Female",0,-1,3,1,1,"2013-05-24 10:51:39","2013-07-26 06:10:54"
"3516",24,"F","African-American","Less than 25","High","Male",7,-1,9,1,1,"2013-09-26 06:27:06","2014-04-14 01:24:33"
"3517",32,"M","Caucasian","25 - 45","Low","Male",0,-1,1,0,0,"2013-04-07 07:03:09","2013-04-26 08:49:05"
"3518",38,"F","Caucasian","25 - 45","Medium","Female",5,-1,6,1,1,"2013-05-15 10:43:19","2013-06-26 05:13:06"
"3519",56,"M","African-American","Greater than 45","Low","Male",3,-28,1,0,0,"2014-01-16 12:26:12","2014-01-31 09:03:56"
"3520",44,"M","African-American","25 - 45","Low","Female",0,-1,1,0,0,"2013-02-22 01:00:39","2013-02-23 08:11:29"
"3521",31,"M","African-American","25 - 45","Medium","Male",1,-1,5,1,1,"2013-08-24 09:20:42","2013-08-25 08:18:28"
"3522",25,"F","Caucasian","25 - 45","Medium","Female",6,-1,7,0,0,"2013-05-20 07:27:50","2013-06-14 04:06:44"
"3523",20,"M","African-American","Less than 25","Medium","Female",0,-1,5,0,0,"2013-09-09 08:08:27","2013-09-10 07:49:28"
"3524",35,"M","African-American","25 - 45","Medium","Male",1,-1,5,0,0,"2014-01-01 11:50:43","2014-01-03 01:39:37"
"3525",33,"F","African-American","25 - 45","Low","Male",1,-1,4,1,1,"2013-08-23 08:13:02","2013-08-24 05:16:56"
"3526",24,"M","African-American","Less than 25","Low","Male",0,-1,3,0,0,"2014-02-01 03:37:21","2014-02-02 07:55:32"
"3527",40,"M","Hispanic","25 - 45","Low","Female",2,-7,2,0,0,"2013-09-23 10:17:27","2013-09-27 08:51:45"
"3528",27,"F","African-American","25 - 45","High","Male",9,0,9,1,1,"2014-07-02 04:34:07","2014-07-02 08:17:07"
"3529",38,"F","African-American","25 - 45","Medium","Male",9,-1,5,1,1,"2014-08-05 07:00:13","2014-08-07 05:07:25"
"3530",20,"F","Caucasian","Less than 25","Medium","Male",0,-1,6,1,1,"2013-09-13 05:02:10","2013-09-14 07:08:23"
"3531",30,"F","African-American","25 - 45","Low","Male",9,-1,3,1,1,"2013-11-16 03:21:37","2013-11-17 08:27:24"
"3532",36,"F","Caucasian","25 - 45","Medium","Male",9,0,6,1,1,"2013-04-06 01:15:11","2013-04-25 06:15:47"
"3533",23,"M","African-American","Less than 25","High","Male",2,-1,9,1,1,"2014-01-27 09:20:56","2014-02-04 01:09:43"
"3534",39,"F","African-American","25 - 45","High","Male",21,-1,10,1,1,"2014-08-26 11:59:56","2014-08-27 04:21:26"
"3535",29,"F","Caucasian","25 - 45","Medium","Male",3,-1,6,1,1,"2014-11-08 11:54:31","2014-11-09 09:53:55"
"3536",58,"M","Caucasian","Greater than 45","Low","Male",2,-1,1,1,1,"2013-04-26 09:01:52","2013-04-27 07:25:54"
"3537",23,"F","Hispanic","Less than 25","Medium","Male",2,-1,7,0,0,"2013-04-25 02:38:32","2013-05-30 09:53:56"
"3538",23,"M","Caucasian","Less than 25","High","Male",3,-1,8,1,1,"2013-01-26 07:15:26","2013-02-21 09:21:04"
"3539",68,"F","African-American","Greater than 45","Low","Female",5,-4,2,0,0,"2013-10-17 11:55:00","2013-10-18 07:57:32"
"3540",26,"M","Caucasian","25 - 45","Medium","Female",2,0,5,0,0,"2013-04-23 04:28:21","2013-04-23 07:38:37"
"3541",51,"F","African-American","Greater than 45","Low","Male",0,-1,4,1,1,"2014-05-22 04:51:07","2014-05-23 08:08:14"
"3542",25,"M","African-American","25 - 45","Low","Male",0,-1,2,0,0,"2014-02-13 08:49:07","2014-02-14 01:09:30"
"3543",40,"F","African-American","25 - 45","High","Male",5,0,9,1,1,"2013-01-02 03:03:13","2013-02-26 06:26:53"
"3544",51,"F","African-American","Greater than 45","Medium","Male",14,-11,5,0,0,"2014-01-24 12:28:43","2014-02-01 10:20:54"
"3545",27,"M","African-American","25 - 45","Medium","Male",2,-1,5,1,1,"2013-01-03 08:36:07","2013-01-18 09:00:58"
"3546",49,"M","African-American","Greater than 45","Medium","Male",11,-1,5,1,1,"2014-10-19 09:18:54","2014-11-20 09:28:01"
"3547",36,"M","Other","25 - 45","Low","Male",0,-1,1,0,0,"2014-01-21 12:17:06","2014-01-24 03:19:22"
"3548",20,"F","African-American","Less than 25","Low","Male",0,-4,3,0,0,"2013-08-02 12:53:34","2013-08-06 10:33:58"
"3549",21,"F","African-American","Less than 25","High","Male",2,0,10,1,1,"2013-08-22 03:00:48","2013-11-16 04:47:00"
"3550",31,"F","African-American","25 - 45","Low","Female",0,0,2,0,0,"2013-09-11 02:25:29","2013-09-12 05:28:48"
"3551",57,"M","African-American","Greater than 45","Low","Male",0,0,1,0,0,"2013-05-27 01:52:05","2013-05-28 01:12:21"
"3552",61,"F","Caucasian","Greater than 45","Low","Female",8,0,3,1,1,"2013-05-07 12:19:29","2013-06-07 08:21:35"
"3553",35,"F","Hispanic","25 - 45","Low","Male",3,-23,1,1,1,"2014-03-12 08:21:31","2014-03-22 02:23:24"
"3554",54,"F","African-American","Greater than 45","Medium","Male",3,-1,6,1,1,"2013-12-17 02:05:51","2013-12-19 09:10:18"
"3555",39,"F","Caucasian","25 - 45","Low","Male",0,-1,3,0,0,"2014-03-19 08:21:38","2014-03-20 10:14:17"
"3556",24,"F","African-American","Less than 25","Medium","Male",1,-1,7,0,0,"2013-01-04 03:20:01","2013-02-06 10:00:42"
"3557",29,"F","Hispanic","25 - 45","Low","Female",0,-1,4,1,1,"2013-09-19 01:59:44","2013-09-20 07:48:00"
"3558",48,"F","African-American","Greater than 45","High","Male",8,-1,9,1,1,"2013-04-06 01:01:53","2013-04-17 05:13:28"
"3559",30,"M","African-American","25 - 45","Medium","Male",6,0,7,1,1,"2013-05-08 03:08:29","2013-05-08 07:08:40"
"3560",26,"F","African-American","25 - 45","High","Male",10,-1,10,1,1,"2013-05-25 08:48:32","2013-05-27 04:30:20"
"3561",37,"F","African-American","25 - 45","High","Male",12,0,9,1,1,"2013-01-11 02:22:05","2013-01-11 08:05:10"
"3562",26,"F","African-American","25 - 45","Medium","Male",4,0,6,1,1,"2014-10-28 01:38:25","2014-12-12 08:07:45"
"3563",29,"M","African-American","25 - 45","High","Male",7,0,10,1,1,"2013-01-21 12:56:39","2013-01-30 05:11:15"
"3564",26,"M","African-American","25 - 45","Medium","Male",1,-1,6,1,1,"2013-03-03 11:28:54","2013-04-02 09:22:27"
"3565",60,"F","African-American","Greater than 45","Low","Male",2,0,1,0,0,"2013-09-20 12:40:56","2013-09-21 04:29:15"
"3566",27,"F","Caucasian","25 - 45","Medium","Male",2,-1,7,1,1,"2014-09-16 11:16:42","2014-09-17 08:16:23"
"3567",22,"F","Caucasian","Less than 25","Medium","Male",1,-1,6,0,0,"2013-01-14 04:29:03","2013-01-15 01:53:43"
"3568",28,"F","African-American","25 - 45","Medium","Male",3,0,7,0,0,"2013-08-09 03:57:00","2013-08-09 08:19:19"
"3569",33,"F","African-American","25 - 45","Medium","Male",13,0,6,1,1,"2013-02-22 01:06:01","2013-02-22 07:19:24"
"3570",28,"F","African-American","25 - 45","Low","Male",2,-1,2,1,0,"2013-01-15 07:30:10","2013-05-20 09:16:44"
"3571",55,"M","Caucasian","Greater than 45","Low","Male",0,-1,1,1,1,"2013-12-22 12:42:17","2013-12-22 01:00:00"
"3572",21,"F","African-American","Less than 25","High","Male",6,-19,8,1,1,"2013-10-21 11:14:12","2013-10-22 01:34:19"
"3573",28,"F","Hispanic","25 - 45","Low","Male",2,-1,3,1,1,"2013-03-03 10:29:13","2013-03-05 09:58:12"
"3574",22,"M","Hispanic","Less than 25","Low","Female",0,-1,2,0,0,"2014-02-10 10:29:08","2014-02-11 01:22:50"
"3575",29,"F","Caucasian","25 - 45","Medium","Female",6,-2,7,1,1,"2014-12-18 11:49:33","2015-02-24 09:41:25"
"3576",24,"M","African-American","Less than 25","High","Male",2,0,8,1,1,"2013-05-12 12:29:59","2013-07-01 06:53:04"
"3577",50,"F","African-American","Greater than 45","Low","Male",12,-22,1,1,1,"2013-02-11 07:57:07","2013-02-12 08:00:25"
"3578",24,"M","African-American","Less than 25","Medium","Male",1,-1,6,1,1,"2014-05-17 11:21:14","2014-05-19 03:52:52"
"3579",47,"F","African-American","Greater than 45","Low","Male",1,-1,2,0,0,"2013-01-21 05:34:28","2013-03-12 01:00:34"
"3580",54,"F","Caucasian","Greater than 45","Low","Male",6,0,1,0,0,"2013-03-15 01:04:54","2013-03-16 01:02:43"
"3581",42,"M","Caucasian","25 - 45","Low","Female",0,-1,2,0,0,"2013-03-27 02:21:15","2013-03-28 07:29:08"
"3582",35,"F","Caucasian","25 - 45","Low","Male",5,-20,3,0,0,"2013-03-02 11:26:56","2013-03-03 09:01:52"
"3583",30,"F","African-American","25 - 45","Low","Male",0,-1,4,1,1,"2013-12-06 03:42:21","2013-12-07 08:00:41"
"3584",53,"F","Caucasian","Greater than 45","Low","Male",1,-1,1,0,0,"2013-02-12 11:20:43","2013-02-13 07:54:55"
"3585",31,"M","African-American","25 - 45","Low","Female",2,-1,3,0,0,"2014-02-27 05:08:53","2014-03-01 05:09:38"
"3586",31,"F","African-American","25 - 45","Low","Male",0,-1,2,1,1,"2014-11-14 04:26:21","2014-11-15 11:29:44"
"3587",23,"F","Other","Less than 25","High","Male",4,-1,10,0,0,"2013-08-14 05:29:49","2013-08-16 10:55:19"
"3588",47,"F","African-American","Greater than 45","Low","Male",9,-1,4,1,0,"2013-08-05 06:18:35","2013-10-09 05:46:08"
"3589",24,"M","African-American","Less than 25","High","Male",9,-1,9,1,1,"2013-04-29 07:23:26","2013-05-02 09:55:11"
"3590",22,"F","African-American","Less than 25","High","Female",2,-1,9,0,0,"2013-10-14 09:45:50","2013-10-17 09:23:49"
"3591",45,"M","Hispanic","Greater than 45","Low","Male",1,-22,1,0,0,"2013-01-17 06:04:20","2013-01-17 06:56:34"
"3592",30,"F","African-American","25 - 45","Low","Female",2,-1,2,0,0,"2014-01-21 11:10:03","2014-01-22 09:10:18"
"3593",30,"M","Other","25 - 45","High","Male",5,-1,8,1,1,"2013-01-04 08:12:30","2013-01-10 01:43:15"
"3594",43,"M","Caucasian","25 - 45","High","Female",22,-1,10,1,1,"2014-07-10 12:37:17","2014-08-06 05:04:56"
"3595",50,"M","African-American","Greater than 45","Low","Male",0,0,1,0,0,"2013-04-22 01:45:49","2013-04-22 06:41:19"
"3596",24,"F","Other","Less than 25","Low","Female",2,-1,4,1,1,"2014-07-08 03:40:37","2014-07-09 07:31:40"
"3597",42,"F","Caucasian","25 - 45","Medium","Female",3,-3,5,0,0,"2013-02-08 09:19:36","2013-02-09 01:26:38"
"3598",29,"F","Caucasian","25 - 45","Medium","Female",1,-1,7,1,1,"2014-11-12 02:53:26","2014-11-25 09:30:44"
"3599",31,"M","Hispanic","25 - 45","Low","Male",0,0,1,0,0,"2013-03-24 07:11:37","2013-03-25 08:17:18"
"3600",25,"F","African-American","25 - 45","High","Male",5,-1,9,1,1,"2014-09-27 04:41:31","2014-11-20 10:01:09"
"3601",36,"F","African-American","25 - 45","Medium","Male",4,0,5,0,0,"2013-05-12 01:05:46","2013-05-13 03:22:20"
"3602",24,"M","African-American","Less than 25","Medium","Male",1,-1,5,1,1,"2013-05-02 03:02:18","2013-05-04 03:36:58"
"3603",28,"F","Caucasian","25 - 45","Medium","Male",5,0,5,0,0,"2013-04-14 03:00:32","2013-04-14 07:15:58"
"3604",31,"M","Caucasian","25 - 45","Low","Male",0,-1,1,1,1,"2014-11-21 08:37:59","2014-11-22 08:22:21"
"3605",23,"F","African-American","Less than 25","Low","Male",0,-1,4,0,0,"2013-02-08 06:33:18","2013-02-11 08:47:47"
"3606",29,"M","Caucasian","25 - 45","Medium","Male",4,-1,6,1,1,"2013-04-11 11:52:52","2013-04-18 11:54:40"
"3607",51,"M","African-American","Greater than 45","Medium","Male",11,-1,5,1,1,"2013-08-12 03:47:07","2013-10-30 09:56:54"
"3608",34,"F","African-American","25 - 45","Medium","Male",1,-1,5,0,0,"2013-01-09 01:08:47","2013-01-10 05:09:51"
"3609",29,"F","African-American","25 - 45","Low","Male",12,0,2,1,1,"2013-11-01 05:44:04","2013-11-01 08:52:01"
"3610",39,"F","African-American","25 - 45","High","Male",13,-1,10,1,1,"2014-07-11 01:26:51","2014-07-12 08:02:59"
"3611",36,"M","Hispanic","25 - 45","Low","Female",0,0,2,0,0,"2013-04-07 02:43:54","2013-04-07 06:10:19"
"3612",59,"M","African-American","Greater than 45","Medium","Male",15,-1,6,1,1,"2014-03-11 09:33:06","2014-03-26 05:34:47"
"3613",23,"F","African-American","Less than 25","High","Male",3,-1,8,1,1,"2013-12-11 08:58:31","2013-12-12 08:41:19"
"3614",31,"F","African-American","25 - 45","High","Male",15,0,8,0,0,"2013-05-25 12:00:10","2013-05-25 07:36:34"
"3615",53,"M","Caucasian","Greater than 45","Low","Male",0,0,1,0,0,"2013-11-18 04:04:43","2013-11-18 02:15:16"
"3616",34,"F","African-American","25 - 45","Medium","Male",12,0,7,0,0,"2014-02-06 12:40:18","2014-03-13 05:43:50"
"3617",63,"F","African-American","Greater than 45","Low","Female",1,0,1,0,0,"2013-11-08 03:13:23","2013-11-08 09:33:45"
"3618",21,"F","Other","Less than 25","Low","Male",0,-1,4,1,1,"2013-10-30 12:06:54","2013-10-31 11:29:01"
"3619",21,"F","African-American","Less than 25","Medium","Female",0,0,7,1,1,"2014-10-04 05:09:06","2014-10-04 07:38:51"
"3620",47,"F","Caucasian","Greater than 45","High","Male",28,-1,9,1,1,"2014-11-21 09:04:06","2014-12-25 06:41:19"
"3621",34,"F","African-American","25 - 45","Medium","Male",7,0,5,1,1,"2014-10-11 12:49:58","2014-10-11 01:58:15"
"3622",58,"F","Caucasian","Greater than 45","Medium","Male",4,0,5,1,1,"2014-11-13 11:35:04","2014-11-14 09:12:36"
"3623",40,"F","Hispanic","25 - 45","Low","Female",4,0,3,1,1,"2014-11-02 02:43:30","2014-11-07 04:27:50"
"3624",36,"F","African-American","25 - 45","High","Male",16,-8,8,1,1,"2013-12-10 01:15:04","2013-12-18 10:47:31"
"3625",23,"M","African-American","Less than 25","Low","Female",0,-1,4,1,0,"2013-01-30 10:25:05","2013-02-01 02:10:14"
"3626",34,"F","African-American","25 - 45","Low","Male",5,-1,2,1,1,"2013-04-25 08:35:15","2013-04-26 07:37:40"
"3627",56,"F","Caucasian","Greater than 45","Low","Male",13,-13,2,0,0,"2013-06-26 10:01:48","2013-07-03 08:32:05"
"3628",52,"F","Caucasian","Greater than 45","Low","Female",0,-6,1,0,0,"2013-12-05 11:56:49","2013-12-06 02:06:17"
"3629",56,"F","African-American","Greater than 45","Low","Male",0,-1,2,0,0,"2013-03-26 11:29:32","2013-04-02 10:35:48"
"3630",37,"M","African-American","25 - 45","Low","Female",0,-1,1,0,0,"2014-02-12 08:58:01","2014-02-13 12:55:43"
"3631",50,"M","Caucasian","Greater than 45","Low","Female",0,0,1,0,0,"2013-09-30 12:58:02","2013-10-02 07:23:30"
"3632",25,"F","African-American","25 - 45","Low","Male",1,-1,2,1,1,"2013-02-08 11:08:45","2013-02-09 09:12:11"
"3633",22,"F","African-American","Less than 25","Medium","Male",0,-1,5,1,1,"2013-03-11 10:30:13","2013-03-12 01:07:23"
"3634",43,"M","Caucasian","25 - 45","Low","Female",0,0,1,1,1,"2013-08-02 01:25:54","2013-08-02 07:52:49"
"3635",30,"M","Caucasian","25 - 45","Low","Male",1,-1,2,0,0,"2013-01-11 03:35:40","2013-02-15 09:20:24"
"3636",29,"F","Asian","25 - 45","Low","Male",0,-1,1,0,0,"2013-02-24 04:36:56","2013-02-25 01:34:48"
"3637",24,"F","Caucasian","Less than 25","Low","Male",0,-1,2,0,0,"2013-03-30 09:22:07","2013-03-31 02:54:13"
"3638",29,"M","African-American","25 - 45","High","Male",7,-1,8,1,1,"2013-09-07 09:27:43","2013-09-08 06:44:09"
"3639",24,"F","Caucasian","Less than 25","Low","Female",0,-2,4,0,0,"2013-09-30 07:53:28","2013-10-01 02:11:36"
"3640",74,"F","African-American","Greater than 45","Low","Female",0,-1,1,0,0,"2013-11-06 11:55:36","2013-11-07 02:32:47"
"3641",27,"M","African-American","25 - 45","Medium","Male",8,0,7,1,1,"2013-08-30 12:08:49","2013-08-31 04:11:35"
"3642",37,"F","Hispanic","25 - 45","Low","Male",1,-1,2,1,1,"2013-04-04 11:29:59","2013-04-05 06:14:28"
"3643",29,"F","Caucasian","25 - 45","Low","Male",5,0,2,0,0,"2013-10-26 02:22:33","2013-10-26 08:52:16"
"3644",35,"F","African-American","25 - 45","Low","Female",5,-1,3,0,0,"2013-11-19 12:43:57","2013-11-20 09:48:47"
"3645",29,"M","African-American","25 - 45","Medium","Male",1,-1,6,1,1,"2013-10-23 02:06:58","2014-01-30 11:45:38"
"3646",36,"F","Caucasian","25 - 45","Low","Male",1,-1,2,0,0,"2013-12-05 08:09:58","2013-12-06 09:55:53"
"3647",26,"F","Caucasian","25 - 45","Low","Male",2,0,4,0,0,"2013-01-10 12:22:27","2013-01-12 02:52:10"
"3648",26,"F","African-American","25 - 45","Medium","Female",1,-1,5,0,0,"2014-01-21 05:58:42","2014-01-22 09:20:42"
"3649",39,"F","Caucasian","25 - 45","Medium","Female",11,-1,6,1,1,"2014-03-19 06:43:33","2014-03-20 10:04:50"
"3650",22,"F","African-American","Less than 25","Low","Male",3,-1,4,1,1,"2013-03-21 04:40:57","2013-03-22 10:20:25"
"3651",28,"F","Caucasian","25 - 45","Low","Male",0,-1,3,0,0,"2013-04-24 06:15:34","2013-04-26 04:51:42"
"3652",51,"F","Caucasian","Greater than 45","Low","Male",1,-2,1,1,1,"2013-03-09 10:28:41","2013-03-10 01:03:52"
"3653",35,"M","Hispanic","25 - 45","Low","Female",0,-1,2,0,0,"2014-01-20 09:04:36","2014-01-21 09:57:17"
"3654",23,"M","African-American","Less than 25","Low","Female",0,-1,2,0,0,"2014-03-01 02:14:47","2014-03-02 08:12:14"
"3655",29,"F","African-American","25 - 45","Medium","Male",6,0,6,1,1,"2013-07-31 12:06:58","2013-08-01 08:24:53"
"3656",20,"F","Other","Less than 25","Low","Male",0,-1,3,1,1,"2014-04-21 03:41:23","2014-04-22 08:36:10"
"3657",24,"M","African-American","Less than 25","High","Male",1,-1,9,1,1,"2013-04-19 04:36:06","2013-04-25 09:32:05"
"3658",23,"M","Hispanic","Less than 25","Low","Female",2,-1,4,0,0,"2013-09-22 01:21:07","2013-09-23 09:39:36"
"3659",33,"F","African-American","25 - 45","Medium","Female",5,-1,7,0,0,"2013-09-19 10:53:46","2014-03-25 03:47:18"
"3660",21,"F","Caucasian","Less than 25","Low","Male",1,-1,3,1,1,"2013-04-24 12:53:34","2013-04-25 09:14:52"
"3661",59,"M","Caucasian","Greater than 45","Low","Male",3,-3,1,0,0,"2013-05-12 05:17:01","2013-05-14 07:57:33"
"3662",26,"F","Caucasian","25 - 45","Low","Male",4,0,4,1,1,"2013-09-23 12:36:24","2013-09-26 08:28:31"
"3663",38,"F","Other","25 - 45","Low","Male",2,-1,1,0,0,"2014-03-26 05:07:09","2014-03-27 01:44:46"
"3664",28,"F","Hispanic","25 - 45","High","Male",2,-1,8,0,0,"2013-11-24 03:03:07","2013-11-27 08:15:41"
"3665",23,"F","Hispanic","Less than 25","Medium","Male",2,-1,5,1,1,"2014-05-26 11:42:15","2014-07-24 10:35:04"
"3666",21,"F","African-American","Less than 25","Medium","Male",1,-1,5,1,1,"2014-05-18 06:59:59","2014-05-19 08:23:45"
"3667",52,"M","African-American","Greater than 45","Low","Male",0,-1,1,1,1,"2013-03-23 05:06:30","2013-03-24 07:32:38"
"3668",56,"F","African-American","Greater than 45","Medium","Male",12,-1,5,1,1,"2013-03-25 10:10:57","2013-03-27 02:33:53"
"3669",40,"M","Caucasian","25 - 45","Low","Male",1,-1,4,0,0,"2013-12-23 09:56:19","2013-12-25 01:50:51"
"3670",48,"M","Caucasian","Greater than 45","Low","Female",8,-26,4,1,1,"2014-01-11 11:55:03","2014-02-04 05:57:53"
"3671",26,"F","African-American","25 - 45","Low","Female",0,-1,4,0,0,"2013-12-20 03:42:01","2013-12-21 01:56:09"
"3672",66,"F","Caucasian","Greater than 45","Low","Male",1,-14,1,1,1,"2014-07-30 09:41:54","2014-08-04 07:36:50"
"3673",54,"F","African-American","Greater than 45","Low","Female",6,-1,4,0,0,"2013-12-01 02:04:46","2013-12-02 09:23:47"
"3674",31,"M","Caucasian","25 - 45","Medium","Male",4,-1,7,1,1,"2014-01-26 09:54:39","2014-02-22 05:13:12"
"3675",34,"F","Caucasian","25 - 45","Low","Male",0,-1,3,1,0,"2013-05-21 11:08:14","2013-05-22 07:36:48"
"3676",25,"F","African-American","25 - 45","High","Male",9,-1,9,1,1,"2013-02-06 12:43:24","2013-05-02 06:27:07"
"3677",47,"F","Caucasian","Greater than 45","Low","Male",2,-7,4,0,0,"2013-03-01 05:20:32","2013-03-07 08:32:27"
"3678",51,"F","African-American","Greater than 45","High","Male",12,-1,8,1,1,"2013-01-14 09:08:43","2013-01-15 01:17:37"
"3679",25,"F","Caucasian","25 - 45","Low","Male",1,-23,3,0,0,"2013-08-19 12:20:34","2013-08-19 07:02:51"
"3680",25,"F","Other","25 - 45","Low","Male",0,-1,2,1,1,"2013-03-20 03:26:30","2013-04-09 08:53:54"
"3681",31,"F","African-American","25 - 45","Low","Female",2,-1,2,1,1,"2013-08-26 10:47:01","2013-08-27 08:02:23"
"3682",36,"F","Caucasian","25 - 45","Low","Male",1,-1,2,1,0,"2013-02-07 05:59:46","2013-02-08 02:14:56"
"3683",49,"M","Caucasian","Greater than 45","Low","Male",0,0,1,0,0,"2013-03-18 12:03:32","2013-03-18 02:06:52"
